ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789776429.2,0,0,95.7,60577,65536
1789776429.2,1,0,91.5,60577,65536
1789776429.2,2,0,93.0,60570,65536
1789776429.2,3,0,91.6,60571,65536
1789776432.0,0,0,101.6,60577,65536
1789776432.0,1,0,99.9,60576,65536
1789776432.0,2,0,94.3,60570,65536
1789776432.0,3,0,98.1,60570,65536
1789776434.7,0,0,94.6,60577,65536
1789776434.7,1,0,90.8,60576,65536
1789776434.7,2,0,92.3,60570,65536
1789776434.7,3,0,90.8,60570,65536
1789776437.5,0,0,94.5,60576,65536
1789776437.5,1,0,90.7,60577,65536
1789776437.5,2,0,92.2,60570,65536
1789776437.5,3,0,90.9,60570,65536
1789776440.2,0,0,94.5,60577,65536
1789776440.2,1,0,90.7,60577,65536
1789776440.2,2,0,92.1,60570,65536
1789776440.2,3,0,91.0,60571,65536
1789776443.0,0,0,94.6,60577,65536
1789776443.0,1,0,90.9,60577,65536
1789776443.0,2,0,92.2,60570,65536
1789776443.0,3,0,90.9,60571,65536
1789776445.7,0,0,94.6,60577,65536
1789776445.7,1,0,90.7,60577,65536
1789776445.7,2,0,92.2,60570,65536
1789776445.7,3,0,90.8,60571,65536
1789776448.5,0,0,94.3,60576,65536
1789776448.5,1,0,90.6,60577,65536
1789776448.5,2,0,92.3,60570,65536
1789776448.5,3,0,90.8,60571,65536
1789776451.2,0,0,94.6,60577,65536
1789776451.2,1,0,90.6,60577,65536
1789776451.2,2,0,92.4,60570,65536
1789776451.2,3,0,91.0,60571,65536
1789776454.0,0,0,94.4,60577,65536
1789776454.0,1,0,90.7,60576,65536
1789776454.0,2,77,216.4,60578,65536
1789776454.0,3,76,215.1,60578,65536
1789776456.7,0,0,94.5,60577,65536
1789776456.7,1,0,90.7,60576,65536
1789776456.7,2,76,218.7,60578,65536
1789776456.7,3,77,217.3,60578,65536
1789776459.5,0,0,94.4,60577,65536
1789776459.5,1,0,90.6,60577,65536
1789776459.5,2,76,218.1,60579,65536
1789776459.5,3,77,215.6,60579,65536
1789776462.2,0,0,94.4,60577,65536
1789776462.2,1,0,90.7,60577,65536
1789776462.2,2,76,217.4,60578,65536
1789776462.2,3,75,216.4,60579,65536
1789776465.0,0,0,94.4,60577,65536
1789776465.0,1,0,90.5,60577,65536
1789776465.0,2,75,218.4,60578,65536
1789776465.0,3,76,214.3,60579,65536
1789776467.7,0,0,94.4,60577,65536
1789776467.7,1,0,90.5,60576,65536
1789776467.7,2,75,218.8,60579,65536
1789776467.7,3,75,214.6,60578,65536
1789776470.5,0,0,94.4,60577,65536
1789776470.5,1,0,90.7,60577,65536
1789776470.5,2,76,218.2,60578,65536
1789776470.5,3,77,216.7,60579,65536
1789776473.2,0,0,94.6,60577,65536
1789776473.2,1,0,90.6,60576,65536
1789776473.2,2,76,220.1,60578,65536
1789776473.2,3,76,216.8,60579,65536
1789776476.0,0,0,94.3,60577,65536
1789776476.0,1,0,90.6,60576,65536
1789776476.0,2,76,218.6,60578,65536
1789776476.0,3,76,217.1,60578,65536
1789776478.7,0,0,94.3,60577,65536
1789776478.7,1,0,90.5,60577,65536
1789776478.7,2,76,217.9,60578,65536
1789776478.7,3,76,215.2,60579,65536
1789776481.5,0,0,94.4,60577,65536
1789776481.5,1,0,90.6,60577,65536
1789776481.5,2,76,218.0,60578,65536
1789776481.5,3,76,215.6,60579,65536
1789776484.2,0,0,94.2,60577,65536
1789776484.2,1,0,90.5,60577,65536
1789776484.2,2,76,218.1,60578,65536
1789776484.2,3,75,215.9,60579,65536
1789776486.9,0,0,94.3,60576,65536
1789776486.9,1,0,90.5,60576,65536
1789776486.9,2,76,218.6,60579,65536
1789776486.9,3,77,217.4,60579,65536
1789776489.7,0,0,94.3,60577,65536
1789776489.7,1,0,90.6,60577,65536
1789776489.7,2,76,221.2,60579,65536
1789776489.7,3,76,214.8,60579,65536
1789776492.4,0,0,94.4,60577,65536
1789776492.4,1,0,90.5,60576,65536
1789776492.4,2,76,218.6,60578,65536
1789776492.4,3,76,214.3,60579,65536
1789776495.1,0,0,94.4,60576,65536
1789776495.1,1,0,90.6,60576,65536
1789776495.1,2,75,219.6,60578,65536
1789776495.1,3,75,214.4,60579,65536
1789776497.9,0,0,94.3,60577,65536
1789776497.9,1,0,90.7,60577,65536
1789776497.9,2,76,218.8,60579,65536
1789776497.9,3,76,215.6,60578,65536
1789776500.6,0,0,94.5,60577,65536
1789776500.6,1,0,90.4,60577,65536
1789776500.6,2,76,218.0,60579,65536
1789776500.6,3,76,214.3,60579,65536
1789776503.4,0,0,94.1,60576,65536
1789776503.4,1,0,90.5,60577,65536
1789776503.4,2,78,219.0,60579,65536
1789776503.4,3,76,216.4,60579,65536
1789776506.1,0,0,94.4,60576,65536
1789776506.1,1,0,90.5,60576,65536
1789776506.1,2,76,217.8,60578,65536
1789776506.1,3,76,217.8,60579,65536
1789776508.9,0,0,94.4,60576,65536
1789776508.9,1,0,90.6,60577,65536
1789776508.9,2,76,216.6,60579,65536
1789776508.9,3,76,218.8,60579,65536
1789776511.6,0,0,94.5,60577,65536
1789776511.6,1,0,90.4,60577,65536
1789776511.6,2,76,219.2,60578,65536
1789776511.6,3,77,216.9,60579,65536
1789776514.3,0,0,94.3,60577,65536
1789776514.3,1,0,90.5,60577,65536
1789776514.3,2,75,213.8,60578,65536
1789776514.3,3,76,214.9,60579,65536
1789776517.1,0,0,94.4,60577,65536
1789776517.1,1,0,90.4,60577,65536
1789776517.1,2,76,217.6,60578,65536
1789776517.1,3,76,215.0,60579,65536
1789776519.8,0,0,94.3,60577,65536
1789776519.8,1,0,90.5,60577,65536
1789776519.8,2,76,214.4,60578,65536
1789776519.8,3,77,219.7,60579,65536
1789776522.6,0,0,94.3,60577,65536
1789776522.6,1,0,90.4,60576,65536
1789776522.6,2,76,219.3,60579,65536
1789776522.6,3,76,216.2,60579,65536
1789776525.3,0,0,94.2,60576,65536
1789776525.3,1,0,90.4,60576,65536
1789776525.3,2,78,219.6,60578,65536
1789776525.3,3,75,217.3,60579,65536
1789776528.0,0,0,94.2,60576,65536
1789776528.0,1,0,90.4,60577,65536
1789776528.0,2,77,220.3,60578,65536
1789776528.0,3,76,216.5,60579,65536
1789776530.8,0,0,94.3,60577,65536
1789776530.8,1,0,90.4,60577,65536
1789776530.8,2,77,216.4,60578,65536
1789776530.8,3,76,217.7,60579,65536
1789776533.5,0,0,94.3,60577,65536
1789776533.5,1,0,90.6,60577,65536
1789776533.5,2,76,218.7,60578,65536
1789776533.5,3,76,217.8,60579,65536
1789776536.3,0,0,94.1,60576,65536
1789776536.3,1,0,90.7,60577,65536
1789776536.3,2,76,221.0,60578,65536
1789776536.3,3,77,216.2,60579,65536
1789776539.0,0,0,94.4,60577,65536
1789776539.0,1,0,90.7,60577,65536
1789776539.0,2,76,222.0,60579,65536
1789776539.0,3,76,215.9,60579,65536
1789776541.7,0,0,94.4,60577,65536
1789776541.7,1,0,90.4,60577,65536
1789776541.7,2,77,218.4,60579,65536
1789776541.7,3,76,216.8,60578,65536
1789776544.5,0,0,94.3,60576,65536
1789776544.5,1,0,90.5,60577,65536
1789776544.5,2,76,219.2,60578,65536
1789776544.5,3,76,216.0,60578,65536
1789776547.2,0,0,94.2,60576,65536
1789776547.2,1,0,90.5,60576,65536
1789776547.2,2,75,217.2,60578,65536
1789776547.2,3,76,215.6,60578,65536
1789776550.0,0,0,94.3,60577,65536
1789776550.0,1,0,90.4,60577,65536
1789776550.0,2,76,215.0,60578,65536
1789776550.0,3,76,218.6,60579,65536
