ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789776029.4,0,0,101.7,60505,65536
1789776029.4,1,0,94.6,60505,65536
1789776029.4,2,0,94.1,60499,65536
1789776029.4,3,0,92.2,60498,65536
1789776032.1,0,0,94.7,60505,65536
1789776032.1,1,0,91.0,60505,65536
1789776032.1,2,0,101.2,60499,65536
1789776032.1,3,0,96.4,60498,65536
1789776034.9,0,0,94.6,60505,65536
1789776034.9,1,0,91.0,60504,65536
1789776034.9,2,0,92.3,60498,65536
1789776034.9,3,0,91.2,60498,65536
1789776037.6,0,0,94.9,60505,65536
1789776037.6,1,0,90.8,60505,65536
1789776037.6,2,0,92.2,60498,65536
1789776037.6,3,0,91.1,60498,65536
1789776040.4,0,0,94.8,60505,65536
1789776040.4,1,0,90.7,60505,65536
1789776040.4,2,0,92.1,60499,65536
1789776040.4,3,0,91.0,60499,65536
1789776043.1,0,0,94.7,60505,65536
1789776043.1,1,0,90.7,60505,65536
1789776043.1,2,0,92.4,60498,65536
1789776043.1,3,0,91.1,60499,65536
1789776045.9,0,0,94.6,60504,65536
1789776045.9,1,0,90.6,60504,65536
1789776045.9,2,0,92.3,60498,65536
1789776045.9,3,0,90.8,60498,65536
1789776048.6,0,0,94.6,60504,65536
1789776048.6,1,0,90.7,60505,65536
1789776048.6,2,0,92.3,60498,65536
1789776048.6,3,0,91.0,60498,65536
1789776051.3,0,0,94.6,60505,65536
1789776051.3,1,0,90.8,60505,65536
1789776051.3,2,0,92.5,60498,65536
1789776051.3,3,0,90.8,60498,65536
1789776054.1,0,71,196.9,60584,65536
1789776054.1,1,71,191.9,60585,65536
1789776054.1,2,72,192.4,60578,65536
1789776054.1,3,71,193.1,60578,65536
1789776056.8,0,74,194.7,60585,65536
1789776056.8,1,72,193.7,60584,65536
1789776056.8,2,74,194.6,60578,65536
1789776056.8,3,73,190.0,60578,65536
1789776059.6,0,74,195.4,60585,65536
1789776059.6,1,74,194.2,60585,65536
1789776059.6,2,75,191.9,60579,65536
1789776059.6,3,75,190.9,60578,65536
1789776062.3,0,74,195.1,60585,65536
1789776062.3,1,73,192.9,60585,65536
1789776062.3,2,74,194.9,60578,65536
1789776062.3,3,74,189.5,60579,65536
1789776065.1,0,23,173.9,60585,65536
1789776065.1,1,44,177.3,60584,65536
1789776065.1,2,84,232.8,60578,65536
1789776065.1,3,89,275.0,60578,65536
1789776067.9,0,72,196.8,60584,65536
1789776067.9,1,72,196.8,60585,65536
1789776067.9,2,73,195.2,60579,65536
1789776067.9,3,73,187.7,60578,65536
1789776070.6,0,73,196.8,60584,65536
1789776070.6,1,72,194.6,60585,65536
1789776070.6,2,73,192.1,60578,65536
1789776070.6,3,74,191.8,60578,65536
1789776073.3,0,74,195.5,60584,65536
1789776073.3,1,73,192.4,60585,65536
1789776073.3,2,75,194.5,60578,65536
1789776073.3,3,75,192.0,60578,65536
1789776076.1,0,74,197.1,60585,65536
1789776076.1,1,72,191.4,60584,65536
1789776076.1,2,74,192.1,60578,65536
1789776076.1,3,74,191.3,60578,65536
1789776078.8,0,85,285.6,60584,65536
1789776078.8,1,80,310.2,60585,65536
1789776078.8,2,74,294.8,60579,65536
1789776078.8,3,74,301.3,60579,65536
1789776081.6,0,72,199.9,60589,65536
1789776081.6,1,71,193.3,60588,65536
1789776081.6,2,73,194.1,60583,65536
1789776081.6,3,73,193.8,60583,65536
1789776084.3,0,73,196.7,60589,65536
1789776084.3,1,72,192.1,60588,65536
1789776084.3,2,74,193.2,60582,65536
1789776084.3,3,73,190.8,60583,65536
1789776087.1,0,74,194.1,60589,65536
1789776087.1,1,74,194.3,60588,65536
1789776087.1,2,74,194.3,60582,65536
1789776087.1,3,75,191.8,60582,65536
1789776089.8,0,74,193.6,60589,65536
1789776089.8,1,74,194.3,60589,65536
1789776089.8,2,75,192.4,60582,65536
1789776089.8,3,75,190.9,60583,65536
