ts,card,aicore_pct,power_w,hbm_used_mb,hbm_total_mb
1789774125.5,0,0,94.9,60501,65536
1789774125.5,1,0,91.0,60523,65536
1789774125.5,2,0,92.5,60494,65536
1789774125.5,3,0,91.2,60494,65536
1789774128.2,0,0,94.8,60501,65536
1789774128.2,1,0,90.8,60524,65536
1789774128.2,2,0,92.2,60495,65536
1789774128.2,3,0,91.0,60494,65536
1789774131.0,0,0,94.7,60501,65536
1789774131.0,1,0,90.6,60524,65536
1789774131.0,2,0,92.1,60495,65536
1789774131.0,3,0,91.1,60495,65536
1789774133.7,0,0,94.5,60501,65536
1789774133.7,1,0,90.7,60523,65536
1789774133.7,2,0,92.1,60495,65536
1789774133.7,3,0,90.9,60495,65536
1789774136.4,0,0,94.5,60501,65536
1789774136.4,1,0,90.7,60523,65536
1789774136.4,2,0,92.5,60495,65536
1789774136.4,3,0,91.1,60495,65536
1789774139.2,0,0,94.6,60501,65536
1789774139.2,1,0,90.3,60523,65536
1789774139.2,2,0,92.4,60495,65536
1789774139.2,3,0,90.7,60495,65536
1789774141.9,0,0,94.3,60501,65536
1789774141.9,1,0,91.1,60523,65536
1789774141.9,2,0,92.0,60495,65536
1789774141.9,3,0,90.9,60495,65536
1789774144.7,0,0,94.6,60501,65536
1789774144.7,1,0,90.6,60523,65536
1789774144.7,2,0,92.4,60495,65536
1789774144.7,3,0,90.7,60495,65536
1789774147.4,0,0,94.4,60501,65536
1789774147.4,1,0,90.7,60524,65536
1789774147.4,2,0,92.3,60495,65536
1789774147.4,3,0,90.9,60494,65536
1789774150.2,0,81,221.7,60501,65536
1789774150.2,1,0,91.3,60524,65536
1789774150.2,2,0,92.3,60495,65536
1789774150.2,3,0,90.7,60495,65536
1789774152.9,0,82,223.7,60501,65536
1789774152.9,1,0,91.9,60524,65536
1789774152.9,2,0,92.2,60495,65536
1789774152.9,3,0,90.9,60495,65536
1789774155.7,0,81,223.6,60501,65536
1789774155.7,1,0,92.0,60524,65536
1789774155.7,2,0,92.1,60495,65536
1789774155.7,3,0,90.9,60495,65536
1789774158.4,0,81,223.6,60501,65536
1789774158.4,1,0,91.7,60524,65536
1789774158.4,2,0,92.1,60495,65536
1789774158.4,3,0,90.9,60495,65536
1789774161.1,0,80,220.7,60501,65536
1789774161.1,1,0,91.3,60523,65536
1789774161.1,2,0,92.0,60495,65536
1789774161.1,3,0,90.8,60495,65536
1789774163.9,0,82,222.1,60502,65536
1789774163.9,1,0,90.8,60523,65536
1789774163.9,2,0,92.0,60495,65536
1789774163.9,3,0,90.8,60496,65536
1789774166.6,0,81,219.8,60501,65536
1789774166.6,1,0,91.6,60524,65536
1789774166.6,2,0,92.2,60495,65536
1789774166.6,3,0,90.8,60495,65536
1789774169.4,0,83,223.2,60502,65536
1789774169.4,1,0,89.5,60524,65536
1789774169.4,2,0,92.2,60495,65536
1789774169.4,3,0,90.8,60495,65536
1789774172.1,0,82,221.3,60501,65536
1789774172.1,1,0,92.2,60524,65536
1789774172.1,2,0,92.2,60494,65536
1789774172.1,3,0,90.8,60495,65536
1789774174.8,0,82,221.2,60501,65536
1789774174.8,1,0,90.4,60523,65536
1789774174.8,2,0,92.0,60494,65536
1789774174.8,3,0,90.8,60495,65536
1789774177.6,0,80,218.8,60501,65536
1789774177.6,1,0,92.1,60523,65536
1789774177.6,2,0,91.9,60494,65536
1789774177.6,3,0,90.7,60495,65536
1789774180.3,0,81,218.4,60501,65536
1789774180.3,1,0,91.0,60524,65536
1789774180.3,2,0,92.1,60495,65536
1789774180.3,3,0,90.8,60495,65536
1789774183.0,0,81,220.4,60501,65536
1789774183.0,1,0,90.7,60523,65536
1789774183.0,2,0,92.0,60495,65536
1789774183.0,3,0,90.6,60495,65536
1789774185.8,0,81,221.2,60501,65536
1789774185.8,1,0,91.5,60523,65536
1789774185.8,2,0,92.0,60494,65536
1789774185.8,3,0,90.7,60495,65536
1789774188.5,0,81,223.0,60501,65536
1789774188.5,1,0,91.1,60524,65536
1789774188.5,2,0,92.2,60495,65536
1789774188.5,3,0,90.8,60494,65536
1789774191.3,0,80,222.5,60501,65536
1789774191.3,1,0,92.1,60523,65536
1789774191.3,2,0,92.0,60495,65536
1789774191.3,3,0,90.8,60495,65536
1789774194.0,0,80,223.3,60501,65536
1789774194.0,1,0,91.3,60523,65536
1789774194.0,2,0,91.7,60495,65536
1789774194.0,3,0,90.4,60495,65536
1789774196.8,0,81,224.7,60501,65536
1789774196.8,1,0,91.5,60523,65536
1789774196.8,2,0,92.0,60494,65536
1789774196.8,3,0,90.9,60495,65536
1789774199.5,0,81,223.1,60501,65536
1789774199.5,1,0,89.8,60523,65536
1789774199.5,2,0,91.9,60495,65536
1789774199.5,3,0,90.6,60496,65536
1789774202.3,0,81,221.2,60501,65536
1789774202.3,1,0,91.5,60523,65536
1789774202.3,2,0,92.2,60495,65536
1789774202.3,3,0,90.7,60495,65536
1789774205.0,0,81,225.2,60501,65536
1789774205.0,1,0,90.9,60523,65536
1789774205.0,2,0,92.2,60495,65536
1789774205.0,3,0,90.4,60494,65536
1789774207.8,0,81,222.3,60501,65536
1789774207.8,1,0,91.6,60524,65536
1789774207.8,2,0,92.2,60495,65536
1789774207.8,3,0,90.6,60494,65536
1789774210.5,0,82,221.1,60501,65536
1789774210.5,1,0,91.4,60523,65536
1789774210.5,2,0,92.1,60496,65536
1789774210.5,3,0,90.8,60495,65536
1789774213.2,0,81,222.7,60501,65536
1789774213.2,1,0,91.3,60523,65536
1789774213.2,2,0,92.1,60495,65536
1789774213.2,3,0,90.8,60495,65536
1789774216.0,0,81,223.5,60501,65536
1789774216.0,1,0,93.0,60523,65536
1789774216.0,2,0,92.2,60495,65536
1789774216.0,3,0,90.6,60495,65536
1789774218.8,0,81,222.7,60501,65536
1789774218.8,1,0,91.5,60523,65536
1789774218.8,2,0,92.1,60495,65536
1789774218.8,3,0,91.1,60495,65536
1789774221.5,0,80,223.3,60501,65536
1789774221.5,1,0,91.3,60523,65536
1789774221.5,2,0,91.9,60495,65536
1789774221.5,3,0,90.7,60495,65536
1789774224.3,0,82,222.8,60501,65536
1789774224.3,1,0,90.8,60523,65536
1789774224.3,2,0,92.1,60495,65536
1789774224.3,3,0,90.8,60495,65536
1789774227.0,0,82,223.2,60501,65536
1789774227.0,1,0,90.6,60523,65536
1789774227.0,2,0,92.1,60495,65536
1789774227.0,3,0,90.8,60495,65536
1789774229.7,0,81,225.7,60501,65536
1789774229.7,1,0,93.3,60524,65536
1789774229.7,2,0,91.8,60495,65536
1789774229.7,3,0,90.7,60495,65536
1789774232.5,0,82,226.5,60501,65536
1789774232.5,1,0,90.4,60524,65536
1789774232.5,2,0,92.2,60495,65536
1789774232.5,3,0,90.7,60495,65536
