date,model,precision,engine,config,tp,dp,cards,profile,input_len,output_len,source,concurrency,num_prompts,ttft_med_ms,ttft_p99_ms,tpot_med_ms,itl_p99_ms,req_per_s,out_tok_per_s,completed,failed,duration_s,npu_util_avg_pct,npu_util_max_pct,power_avg_w,hbm_max_pct,bench_json,note
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P1,512,512,random,1,6,45.1,4369.9,15.0,16.2,0.118,60.3,6,0,50.9,51.2,82.0,173.5,92.2,/data/results/Qwen3-8B/logs/tp1_P1_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P1,512,512,random,16,48,281.9,550.4,19.7,21.9,1.542,789.8,48,0,31.1,54.4,100.0,170.3,92.3,/data/results/Qwen3-8B/logs/tp1_P1_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P1,512,512,random,64,128,670.2,1541.0,30.6,121.5,3.847,1969.7,128,0,33.3,57.1,100.0,180.2,92.6,/data/results/Qwen3-8B/logs/tp1_P1_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P2,2048,128,random,1,6,131.3,135.9,15.4,16.1,0.479,61.3,6,0,12.5,25.2,83.0,134.6,92.6,/data/results/Qwen3-8B/logs/tp1_P2_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P2,2048,128,random,16,48,540.1,1246.0,29.2,135.9,3.769,482.4,48,0,12.7,35.7,100.0,166.9,92.6,/data/results/Qwen3-8B/logs/tp1_P2_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P2,2048,128,random,64,128,1143.5,4556.8,57.5,153.6,6.697,857.2,128,0,19.1,40.8,100.0,185.9,92.6,/data/results/Qwen3-8B/logs/tp1_P2_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P3,256,1024,random,1,6,41.6,45.2,15.1,15.6,0.065,66.2,6,0,92.7,64.3,83.0,195.4,92.6,/data/results/Qwen3-8B/logs/tp1_P3_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P3,256,1024,random,16,48,197.0,222.5,19.2,20.9,0.806,825.3,48,0,59.6,68.5,100.0,185.0,92.6,/data/results/Qwen3-8B/logs/tp1_P3_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp1,1,1,1,P3,256,1024,random,64,128,387.6,713.8,29.5,34.9,2.085,2135.4,128,0,61.4,71.0,100.0,198.8,92.6,/data/results/Qwen3-8B/logs/tp1_P3_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,1,6,44.0,237.0,10.8,19.0,0.178,91.3,6,0,33.6,37.5,71.0,290.6,92.1,/data/results/Qwen3-8B/logs/tp2_P1_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,16,48,442.9,597.5,13.7,16.9,2.17,1110.9,48,0,22.1,38.2,87.0,277.9,92.2,/data/results/Qwen3-8B/logs/tp2_P1_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,64,128,755.8,1452.9,23.6,119.1,4.898,2507.5,128,0,26.1,45.9,100.0,289.9,92.5,/data/results/Qwen3-8B/logs/tp2_P1_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,1,6,48.3,319.1,11.0,18.9,0.175,89.4,6,0,34.4,28.2,61.0,485.4,92.0,/data/results/Qwen3-8B/logs/tp4_P1_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,16,48,280.6,457.8,12.1,16.0,2.48,1269.8,48,0,19.4,28.8,87.0,488.8,92.1,/data/results/Qwen3-8B/logs/tp4_P1_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,64,128,532.6,1232.2,16.0,86.0,7.17,3670.9,128,0,17.9,32.0,96.0,509.7,92.5,/data/results/Qwen3-8B/logs/tp4_P1_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp2,1,2,2,P1,512,512,random,1,6,82.9,97.6,15.0,15.8,0.129,66.3,6,0,46.4,26.6,82.0,269.1,92.1,/data/results/Qwen3-8B/logs/dp2_P1_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp2,1,2,2,P1,512,512,random,16,48,150.4,470.9,17.1,33.3,1.783,912.9,48,0,26.9,42.7,93.0,313.7,92.3,/data/results/Qwen3-8B/logs/dp2_P1_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp2,1,2,2,P1,512,512,random,64,128,639.2,997.9,22.9,44.1,5.164,2644.0,128,0,24.8,49.9,100.0,346.0,92.3,/data/results/Qwen3-8B/logs/dp2_P1_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P1,512,512,random,1,6,80.9,142.1,15.0,15.8,0.129,66.0,6,0,46.6,12.9,82.0,451.8,92.1,/data/results/Qwen3-8B/logs/dp4_P1_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P1,512,512,random,16,48,117.0,314.3,16.3,32.4,1.828,935.8,48,0,26.3,43.0,88.0,623.2,92.2,/data/results/Qwen3-8B/logs/dp4_P1_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P1,512,512,random,64,128,254.0,750.6,19.6,45.1,5.835,2987.7,128,0,21.9,41.7,100.0,621.1,92.3,/data/results/Qwen3-8B/logs/dp4_P1_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P2,2048,128,random,1,6,130.2,154.6,15.5,17.0,0.475,60.8,6,0,12.6,5.8,82.0,406.3,92.3,/data/results/Qwen3-8B/logs/dp4_P2_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P2,2048,128,random,16,48,259.7,553.1,19.1,113.2,5.839,747.4,48,0,8.2,22.0,91.0,491.8,92.3,/data/results/Qwen3-8B/logs/dp4_P2_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P2,2048,128,random,64,128,704.1,1830.7,29.4,138.7,13.807,1767.3,128,0,9.3,23.1,100.0,550.9,92.4,/data/results/Qwen3-8B/logs/dp4_P2_c64.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P3,256,1024,random,1,6,36.8,40.7,15.0,15.7,0.065,66.4,6,0,92.5,15.6,83.0,467.1,92.4,/data/results/Qwen3-8B/logs/dp4_P3_c1.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P3,256,1024,random,16,48,101.8,195.4,16.2,31.3,0.942,965.0,48,0,50.9,55.4,90.0,698.3,92.4,/data/results/Qwen3-8B/logs/dp4_P3_c16.json,
2026-09-18,Qwen3-8B,bf16,vllm-ascend 0.23.0,dp4,1,4,4,P3,256,1024,random,64,128,205.0,528.4,19.3,38.1,3.131,3206.1,128,0,40.9,57.3,100.0,682.8,92.4,/data/results/Qwen3-8B/logs/dp4_P3_c64.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,1,6,72.9,382.1,32.5,34.2,0.06,30.6,6,0,100.4,60.7,78.0,387.9,92.5,/data/results/Qwen3-32B/logs/tp2_P1_c1.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,16,48,888.6,1515.2,40.1,46.1,0.748,383.2,48,0,64.1,57.8,85.0,378.3,92.7,/data/results/Qwen3-32B/logs/tp2_P1_c16.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P1,512,512,random,64,128,1881.4,4510.5,59.4,399.8,1.926,986.0,128,0,66.5,65.9,100.0,413.5,92.9,/data/results/Qwen3-32B/logs/tp2_P1_c64.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P2,2048,128,random,1,6,345.1,365.2,32.8,34.3,0.221,28.3,6,0,27.1,41.7,78.0,340.1,92.9,/data/results/Qwen3-32B/logs/tp2_P2_c1.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P2,2048,128,random,16,48,1635.3,3553.1,65.2,427.5,1.634,209.1,48,0,29.4,45.5,90.0,380.6,92.9,/data/results/Qwen3-32B/logs/tp2_P2_c16.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P2,2048,128,random,64,128,5058.6,19716.8,122.8,448.9,2.497,319.6,128,0,51.3,54.0,100.0,462.4,92.9,/data/results/Qwen3-32B/logs/tp2_P2_c64.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P3,256,1024,random,1,6,99.0,265.9,32.3,33.3,0.03,30.8,6,0,199.2,66.8,77.0,411.6,92.9,/data/results/Qwen3-32B/logs/tp2_P3_c1.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P3,256,1024,random,16,48,672.9,899.0,39.3,41.0,0.393,402.2,48,0,122.2,67.2,85.0,402.0,92.9,/data/results/Qwen3-32B/logs/tp2_P3_c16.json,
2026-09-18,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp2,2,1,2,P3,256,1024,random,64,128,1410.3,2343.7,56.0,59.4,1.09,1115.9,128,0,117.5,76.6,100.0,430.0,92.9,/data/results/Qwen3-32B/logs/tp2_P3_c64.json,
2026-09-19,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,1,6,59.4,383.0,20.5,29.0,0.094,48.1,6,0,63.9,52.9,76.0,674.1,92.3,/data/results/Qwen3-32B/logs/tp4_P1_c1.json,
2026-09-19,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,16,48,605.4,887.7,25.1,31.7,1.19,609.2,48,0,40.3,44.3,89.0,638.6,92.5,/data/results/Qwen3-32B/logs/tp4_P1_c16.json,
2026-09-19,Qwen3-32B,bf16,vllm-ascend 0.23.0,tp4,4,1,4,P1,512,512,random,64,128,1358.1,2365.6,36.9,208.6,3.114,1594.2,128,0,41.1,54.7,95.0,699.0,92.8,/data/results/Qwen3-32B/logs/tp4_P1_c64.json,
2026-09-19,Qwen3-32B,bf16,vllm-ascend 0.23.0,dp2tp2,2,2,4,P1,512,512,random,1,6,149.7,332.7,32.4,34.2,0.06,30.6,6,0,100.3,30.4,78.0,569.9,92.4,/data/results/Qwen3-32B/logs/dp2tp2_P1_c1.json,
